종목명,종목코드,권장호라이즌,요약점수(h1),요약점수(h2),요약점수(h3),h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,last_close,매수가(entry),익절가(tp),손절가(sl),RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count
삼성에스디에스,018260,h1,0.0,1.0,1.5,,,,,,194104.15,193618.89,197598.02,192163.11,2.73,1.2216712124599622,57.14285714285714,92.50606728154222,1941.041497990146,43.0
SK,034730,h2,1.4,1.05,1.5,3.034806716744878,45.23809523809524,2293.219133360042,6065.998810103962,42.0,606599.88,605083.38,617518.68,600533.88,2.73,,,,,
